index,title,artist,top genre,year
0,"Hey, Soul Sister",Train,neo mellow,2010
1,Love The Way You Lie,Eminem,detroit hip hop,2010
2,TiK ToK,Kesha,dance pop,2010
3,Bad Romance,Lady Gaga,dance pop,2010
4,Just the Way You Are,Bruno Mars,pop,2010
5,Baby,Justin Bieber,canadian pop,2010
6,Dynamite,Taio Cruz,dance pop,2010
7,Secrets,OneRepublic,dance pop,2010
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010
9,Only Girl (In The World),Rihanna,barbadian pop,2010
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010
11,Marry You,Bruno Mars,pop,2010
12,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010
13,Telephone,Lady Gaga,dance pop,2010
14,Like A G6,Far East Movement,dance pop,2010
15,OMG (feat. will.i.am),Usher,atl hip hop,2010
16,Eenie Meenie,Sean Kingston,dance pop,2010
17,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010
18,Alejandro,Lady Gaga,dance pop,2010
19,Your Love Is My Drug,Kesha,dance pop,2010
20,Meet Me Halfway,The Black Eyed Peas,dance pop,2010
21,Whataya Want from Me,Adam Lambert,australian pop,2010
22,Take It Off,Kesha,dance pop,2010
23,Misery,Maroon 5,pop,2010
24,All The Right Moves,OneRepublic,dance pop,2010
25,Animal,Neon Trees,indie pop,2010
26,Naturally,Selena Gomez & The Scene,dance pop,2010
27,I Like It,Enrique Iglesias,dance pop,2010
28,Teenage Dream,Katy Perry,dance pop,2010
29,California Gurls,Katy Perry,dance pop,2010
30,3,Britney Spears,dance pop,2010
31,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010
32,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010
33,Imma Be,The Black Eyed Peas,dance pop,2010
34,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010
35,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010
36,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010
37,If I Had You,Adam Lambert,australian pop,2010
38,Rock That Body,The Black Eyed Peas,dance pop,2010
39,Dog Days Are Over,Florence + The Machine,art pop,2010
40,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010
41,Doesn't Mean Anything,Alicia Keys,hip pop,2010
42,Hard,Rihanna,barbadian pop,2010
43,Loca,Shakira,colombian pop,2010
44,You Lost Me,Christina Aguilera,dance pop,2010
45,Not Myself Tonight,Christina Aguilera,dance pop,2010
46,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010
47,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010
48,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010
49,Break Your Heart,Taio Cruz,dance pop,2010
50,Hello,Martin Solveig,big room,2010
51,A Thousand Years,Christina Perri,dance pop,2011
52,Someone Like You,Adele,british soul,2011
53,Give Me Everything,Pitbull,dance pop,2011
54,Just the Way You Are,Bruno Mars,pop,2011
55,Rolling in the Deep,Adele,british soul,2011
56,Run the World (Girls),Beyoncé,dance pop,2011
57,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011
58,Love On Top,Beyoncé,dance pop,2011
59,Grenade,Bruno Mars,pop,2011
60,Tonight Tonight,Hot Chelle Rae,dance pop,2011
61,What the Hell,Avril Lavigne,canadian pop,2011
62,Born This Way,Lady Gaga,dance pop,2011
63,Monster,Kanye West,chicago rap,2011
64,Marry You,Bruno Mars,pop,2011
65,Best Thing I Never Had,Beyoncé,dance pop,2011
66,Party Rock Anthem,LMFAO,dance pop,2011
67,We R Who We R,Kesha,dance pop,2011
68,Price Tag,Jessie J,australian pop,2011
69,Good Life,OneRepublic,dance pop,2011
70,Just Cant Get Enough,The Black Eyed Peas,dance pop,2011
71,On The Floor,Jennifer Lopez,dance pop,2011
72,What's My Name?,Rihanna,barbadian pop,2011
73,Yeah 3x,Chris Brown,dance pop,2011
74,Without You (feat. Usher),David Guetta,dance pop,2011
75,Sexy And I Know It,LMFAO,dance pop,2011
76,The Edge Of Glory,Lady Gaga,dance pop,2011
77,E.T.,Katy Perry,dance pop,2011
78,Till the World Ends,Britney Spears,dance pop,2011
79,I Wanna Go,Britney Spears,dance pop,2011
80,Blow,Kesha,dance pop,2011
81,You And I,Lady Gaga,dance pop,2011
82,Judas,Lady Gaga,dance pop,2011
83,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011
84,Please Don't Go,Mike Posner,dance pop,2011
85,We Found Love,Rihanna,barbadian pop,2011
86,Marry The Night,Lady Gaga,dance pop,2011
87,1+1,Beyoncé,dance pop,2011
88,Hold It Against Me,Britney Spears,dance pop,2011
89,I'm Into You,Jennifer Lopez,dance pop,2011
90,Papi,Jennifer Lopez,dance pop,2011
91,Cheers (Drink To That),Rihanna,barbadian pop,2011
92,S&M Remix,Rihanna,barbadian pop,2011
93,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011
94,Jar of Hearts,Christina Perri,dance pop,2011
95,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011
96,Turning Page,Sleeping At Last,acoustic pop,2011
97,Super Bass,Nicki Minaj,dance pop,2011
98,Raise Your Glass,P!nk,dance pop,2011
99,Invading My Mind,Jennifer Lopez,dance pop,2011
100,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011
101,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011
102,Firework,Katy Perry,dance pop,2011
103,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011
104,Titanium (feat. Sia),David Guetta,dance pop,2012
105,Locked Out of Heaven,Bruno Mars,pop,2012
106,Paradise,Coldplay,permanent wave,2012
107,Payphone,Maroon 5,pop,2012
108,What Makes You Beautiful,One Direction,boy band,2012
109,I Knew You Were Trouble.,Taylor Swift,pop,2012
110,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012
111,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012
112,Set Fire to the Rain,Adele,british soul,2012
113,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012
114,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012
